source_timestamp,destination_timestamp,x,y,z,roll,pitch,yaw
1446206196941317,1446206196878817,4.045523e-01,-1.005229e-02,-2.163991e-02,-5.295553e-04,1.919459e-03,-1.727609e-03
1446206197003818,1446206196941317,4.100683e-01,-1.430694e-02,-2.075169e-02,-1.084816e-03,1.783941e-03,-1.625553e-03
1446206197066320,1446206197003818,4.115971e-01,-4.006767e-03,-2.425185e-02,-1.864654e-03,7.744428e-04,-1.842913e-03
1446206197128819,1446206197066320,4.130603e-01,-1.123253e-02,-2.089464e-02,-1.641179e-03,9.227769e-05,-1.423926e-03
1446206197191319,1446206197128819,1.962895e-01,-1.441040e-01,3.240646e-02,-1.139587e-03,1.050061e-04,3.763973e-03
1446206197253820,1446206197191319,4.123088e-01,-7.866788e-04,-2.423381e-02,-2.179354e-03,-1.046259e-03,-1.549273e-03
1446206197316321,1446206197253820,4.274108e-01,-1.818312e-02,-2.310662e-02,-1.981201e-03,-1.554882e-03,-1.097363e-03
1446206197378821,1446206197316321,6.095755e-01,-5.336665e-03,-4.019364e-02,-1.162063e-03,-2.033127e-03,-1.583293e-03
1446206197441322,1446206197378821,4.255068e-01,-1.712746e-03,-2.812839e-02,1.789666e-03,-1.110501e-03,-9.086471e-04
1446206197503823,1446206197441322,4.229011e-01,-2.160477e-03,-3.108036e-02,2.195254e-03,1.719436e-04,-6.546340e-04
1446206197566323,1446206197503823,4.070571e-01,-6.028405e-03,-2.516240e-02,1.898007e-03,3.918603e-04,-4.705775e-04
1446206197628823,1446206197566323,4.328794e-01,-4.158433e-03,-2.944221e-02,1.740895e-03,9.865634e-04,-3.576905e-04
1446206197691324,1446206197628823,4.318201e-01,-3.086121e-03,-2.551760e-02,1.375434e-03,1.832974e-03,1.119156e-04
1446206197753825,1446206197691324,4.970175e-01,-6.930658e-03,-1.280624e-02,6.416460e-04,9.311426e-04,2.245868e-04
1446206197816325,1446206197753825,4.284624e-01,-9.395010e-04,-2.349130e-02,-1.692952e-05,-1.176060e-03,-1.634460e-04
1446206197878826,1446206197816325,4.237332e-01,-6.397383e-03,-1.756712e-02,9.136793e-04,-2.521199e-03,-4.877204e-04
